단둘이서만 공유하는 비밀스러운 취미#happy_smile, conspiratorial_glance, whispering, close_up
밤늦게 이어지는 의미 없는 메시지 대화#giggling, glowing_face, lying_on_bed, happiness
"오늘 평소랑 분위기가 다르네?"라는 칭찬#bashful, covering_mouth, red_cheeks, shining_eyes
고민을 상담하다가 보게 된 상대의 눈물#tears, watery_eyes, sad_smile, comfort
다른 사람에게는 보여주지 않는 미소#tender_expression, kind_smile, focus_on_eyes, warm_colors
우연을 가장해 동선이 겹치기 시작함#sneaky_smile, playful_eyes, peeking, looking_at_viewer
상대방이 좋아하는 음료를 기억해 건네줌#proud_smile, beaming, holding_drink, kindness
머리카락에 붙은 작은 먼지를 떼어주는 손길#frozen, deep_blush, wide_eyes, heart_throb
"우리, 생각보다 잘 통하는 것 같아"#joyful, eye_contact, laughing, open_mouth
주말에 단둘이 영화를 보러 가자는 약속#shaking, nervous_smile, hopeful_look, tight_hands
이어폰 한쪽씩 나눠 끼고 듣는 노래#blush, looking_down, sharing_earphones, intimate
감기에 걸린 상대에게 건네는 약봉지#worried, frowning_smile, holding_medicine, caring
다른 사람들 속에서 서로만 아는 눈짓을 보냄#winking, mischievous, secret_smile, social_gathering
술에 취해 무의식중에 전화를 거는 밤#drunken, flushed_face, blurry_eyes, holding_phone
상대방의 사소한 습관을 닮아가기 시작함#embarrassed_smile, scratching_cheek, mirroring, cute
"내일도 만날 수 있을까?"라는 조심스러운 기대#hopeful_eyes, biting_lip, nervous, outdoor
사람 많은 곳에서 자연스럽게 옷자락을 붙잡음#clinging, shy, looking_up, crowd
어두운 골목길, 손끝이 스칠 듯 말 듯한 거리#trembling, heavy_blush, low_lighting, tension
자신의 가장 약한 부분을 처음으로 고백함#sad_smile, teary_eyes, vulnerable, soft_lighting
상대방의 SNS를 밤새 새로고침하는 버릇#obsessed_eyes, dark_circles, screen_glow, anxious
단둘이 찍은 사진이 갤러리에 늘어감#affectionate, blushing_smile, looking_at_phone, happy
"너한테는 뭐든 말할 수 있을 것 같아"#trusting_look, soft_smile, eye_contact, peaceful
다른 이성과 대화하는 모습에 느끼는 묘한 불쾌감#jealous, sulking, pouting, crossing_arms
집에 돌아와서도 귓가에 맴도는 목소리#dazed, dreamy_eyes, blushing, lying_on_back
둘만의 전용 별명을 부르기 시작함#playful, teasing_smile, laughing, lighthearted
비좁은 카페 좌석에서 느껴지는 서로의 온기#stiff, extremely_flushed, looking_away, indoor
생일날 가장 먼저 축하 메시지를 보내는 사이#radiant_smile, happy, teary_eyes, morning_light
"너랑 있으면 시간이 너무 빨리 가"#lonely_expression, sad_smile, sunset, longing
머리를 정리해주는 다정한 손길에 얼굴이 붉어짐#submissive_look, heavy_blush, looking_up, trembling
평범했던 일상이 온통 상대방으로 물드는 과정#infatuated, longing_look, daydreaming, blushing
