신주쿠,주신쿠
시부야,야부시
이케부쿠로,로이쿠부케
아키하바라,하라아키바
롯폰기,폰기롯
긴자,자긴 (일본 버블 시대 어둠의 은어로도 쓰였던 단어로 묘한 분위기를 줌)
우에노,노우에
아사쿠사,쿠사아사
하라주쿠,라주쿠하
오다이바,다이바오
시나가와,가와시나
나카노,카노나
메구로,로메구
미나토,나토미
치요다,다요치
세타가야,가야세타
스기나미,나미스기
에도가와,가와에도
카츠시카,시카카츠
아다치,치아다
아라카와,카와아라
이타바시,바시이타
네리마,리마네
토시마,시마토
츄오,오츄
타이토,이토타
스미다,다미스
코토,토코
오타,타오
분쿄,쿄분
시로카네,카네시로 (일본의 실제 성씨와 같아져서 기묘한 인공물 느낌을 줌)
아카사카,카사아카
키치조지,조지키치
코엔지,지엔코
시모키타자와,자와키타시모
요요기,기요요
에비스,스비에
니혼바시,바시니혼
무사시노,시노무사
타치카와,카와타치
하치오지,지오하치
미타카,카타미
초후,후초
마루노우치,우치마루노
오모테산도,산도오모테
텐노즈,노즈텐
카미야초,야초카미
카구라자카,자카카구라
스이도바시,바시스이도
오테마치,테마치오
